2024-04-29T16:50:42.298+03:00 DEBUG 76762 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'application.title' in PropertySource 'title' with value of type String
2024-04-29T16:50:42.303+03:00 DEBUG 76762 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'application.version' in PropertySource 'version' with value of type String
2024-04-29T16:50:42.304+03:00 DEBUG 76762 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring-boot.version' in PropertySource 'version' with value of type String
2024-04-29T16:50:42.331+03:00  INFO 76762 --- [main] c.e.swscreen.SwScreenApplicationTests    : Starting SwScreenApplicationTests using Java 17.0.10 with PID 76762 (started by taariil2 in /Users/taariil2/Desktop/screeny/screeny)
2024-04-29T16:50:42.331+03:00  INFO 76762 --- [main] c.e.swscreen.SwScreenApplicationTests    : No active profile set, falling back to 1 default profile: "default"
2024-04-29T16:50:42.332+03:00 DEBUG 76762 --- [main] o.s.boot.SpringApplication               : Loading source class com.example.swscreen.SwScreenApplication
2024-04-29T16:50:42.344+03:00 DEBUG 76762 --- [main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6e9319f
2024-04-29T16:50:42.352+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2024-04-29T16:50:42.358+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2024-04-29T16:50:42.377+03:00 DEBUG 76762 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/taariil2/Desktop/screeny/screeny/target/classes/com/example/swscreen/config/SecurityConfig.class]
2024-04-29T16:50:42.382+03:00 DEBUG 76762 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/taariil2/Desktop/screeny/screeny/target/classes/com/example/swscreen/controller/MainController.class]
2024-04-29T16:50:42.394+03:00 DEBUG 76762 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/taariil2/Desktop/screeny/screeny/target/classes/com/example/swscreen/repository/implementation/ImportantRepositoryImpl.class]
2024-04-29T16:50:42.395+03:00 DEBUG 76762 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/taariil2/Desktop/screeny/screeny/target/classes/com/example/swscreen/service/implementation/ImportantServiceImpl.class]
2024-04-29T16:50:42.747+03:00  INFO 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-29T16:50:42.748+03:00  INFO 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-04-29T16:50:42.750+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2024-04-29T16:50:42.753+03:00 DEBUG 76762 --- [main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.example.swscreen'. Automatic @Repository and @Entity scanning is enabled.
2024-04-29T16:50:42.753+03:00 DEBUG 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JDBC repositories in packages com.example.swscreen.
2024-04-29T16:50:42.759+03:00  INFO 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 5 ms. Found 0 JDBC repository interfaces.
2024-04-29T16:50:42.764+03:00  INFO 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-29T16:50:42.764+03:00  INFO 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-29T16:50:42.766+03:00 DEBUG 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.example.swscreen.
2024-04-29T16:50:42.769+03:00  INFO 76762 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 2 ms. Found 0 JPA repository interfaces.
2024-04-29T16:50:42.833+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2024-04-29T16:50:42.835+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2024-04-29T16:50:42.836+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2024-04-29T16:50:42.836+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
2024-04-29T16:50:42.871+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2024-04-29T16:50:42.872+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2024-04-29T16:50:42.880+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2024-04-29T16:50:42.881+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2024-04-29T16:50:42.881+03:00 DEBUG 76762 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
